Najom,Rozloha
900.0,125.0
351.49,47.18
598.0,73.7
4500.0,150.0
311.25,62.25
675.0,80.0
650.0,92.0
1190.0,81.0
619.0,63.04
377.69,44.33
300.0,58.0
238.0,53.0
2760.0,89.0
490.0,108.0
225.0,56.0
380.0,79.1
330.0,65.71
550.0,22.78
275.0,50.0
509.0,81.0
290.0,69.0
504.36,84.06
2100.0,65.2
415.0,59.14
200.0,39.3
475.0,77.0
550.0,78.3
423.55,98.5
840.0,62.0
348.0,66.77
540.0,35.0
518.7,65.0
280.0,41.0
850.0,47.6
1075.0,93.44
170.0,33.7
184.14,37.21
397.0,61.0
1200.0,145.0
290.0,64.0
430.0,57.31
446.4,74.4
229.0,59.96
258.16,64.0
690.0,69.0
450.0,52.0
300.6,50.1
525.0,85.0
340.0,41.0
459.89,69.68
700.0,95.0
300.0,60.34
320.0,59.0
956.0,95.66
346.14,64.1
790.0,120.0
436.09,74.0
347.0,57.71
2750.0,94.32
315.0,58.14
305.0,60.89
274.07,56.98
341.0,62.0
599.0,77.96
230.0,52.0
650.0,70.0
280.0,54.89
820.0,115.0
220.0,15.0
867.24,72.27
720.0,72.0
319.02,61.35
1066.0,82.0
454.0,82.0
350.0,58.0
325.0,30.0
800.0,62.0
490.0,50.0
2350.0,176.0
440.0,72.0
1244.25,110.6
730.0,84.0
1084.59,100.1
389.2,69.5
380.0,69.0
428.0,69.0
567.0,58.11
245.0,34.0
490.0,51.0
745.0,78.46
430.0,43.0
810.31,81.52
280.0,56.0
810.0,95.0
395.0,60.0
290.9,48.89
343.0,68.5
693.0,126.0
393.0,63.52
595.0,28.0
1200.0,120.0
831.58,85.29
375.0,59.3
390.0,61.0
2370.18,117.31
695.0,50.0
250.0,35.0
1450.0,171.0
1350.0,103.0
415.0,75.0
425.0,50.0
560.0,93.52
2500.0,89.0
402.0,60.0
610.0,73.18
1350.0,90.0
470.0,63.0
261.0,49.5
629.0,68.0
219.0,40.23
284.6,71.15
918.0,96.29
1046.0,106.0
500.0,33.0
1550.0,170.0
290.0,49.5
270.0,53.0
1200.0,54.0
295.0,68.5
308.0,59.09
919.0,90.8
390.0,25.0
1440.0,95.0
292.0,55.0
336.0,60.0
305.0,60.63
300.0,60.0
482.0,93.0
210.0,39.11
298.0,37.15
885.0,63.0
494.4,78.47
282.65,68.86
460.0,16.0
430.0,75.0
990.0,100.0
343.5,61.34
1006.0,86.0
587.0,80.9
480.0,75.0
800.0,96.0
2200.0,108.0
900.0,25.0
280.0,60.68
235.0,32.7
820.0,75.0
295.0,60.0
640.0,10.0
520.0,52.0
277.0,69.3
455.8,105.78
1034.0,94.5
450.0,24.0
140.0,23.0
468.73,49.34
850.0,82.0
235.0,48.9
300.0,59.88
404.4,67.34
963.8,91.79
1200.0,114.0
543.97,59.61
500.0,50.0
579.0,70.95
257.0,64.13
670.0,67.0
400.0,61.33
900.0,75.0
380.0,62.5
303.0,41.52
340.0,76.02
400.0,74.32
295.0,65.0
260.0,56.0
280.0,58.21
302.25,46.5
367.73,65.2
198.0,25.0
249.51,57.89
300.0,54.0
315.0,75.6
550.0,71.3
600.0,78.0
645.0,65.05
650.0,93.0
235.0,38.0
297.13,57.14
990.0,78.0
360.0,60.0
1095.0,90.7
1750.0,135.0
580.0,50.0
478.4,59.8
550.0,85.0
1075.0,82.48
480.0,68.0
305.0,51.0
1850.0,92.0
1600.0,165.0
349.0,47.96
1040.0,57.0
203.0,45.0
308.0,58.06
330.0,69.06
1140.0,116.0
400.0,59.0
445.0,102.3
375.0,59.5
370.0,73.7
459.45,61.26
1200.0,114.0
292.13,52.25
330.0,44.0
610.0,91.0
1290.0,87.0
420.0,59.0
499.0,62.88
629.0,58.99
555.0,62.0
310.0,62.0
305.0,58.45
435.0,45.1
350.0,64.74
1195.5,118.34
170.0,21.0
396.0,70.0
1100.0,135.22
340.0,58.45
1900.0,204.0
920.0,100.0
185.0,32.0
405.5,58.77
420.0,80.0
695.0,72.0
370.0,68.5
414.7,63.8
600.0,78.43
350.0,40.0
395.0,75.0
545.0,71.07
480.0,65.0
510.0,57.0
650.0,98.0
950.0,88.0
430.0,55.0
1010.0,95.97
254.68,48.51
323.28,53.88
475.55,68.92
379.0,63.1
350.0,76.0
500.0,78.0
600.0,63.0
560.0,51.0
275.0,55.0
710.0,71.0
456.0,40.59
1150.0,78.0
1400.0,136.0
321.34,65.44
1195.95,113.9
580.0,70.0
630.0,76.51
302.0,59.0
430.0,66.0
1121.0,120.0
360.0,45.05
270.0,49.57
265.0,53.0
650.0,106.0
585.0,90.0
1150.0,97.15
890.0,137.0
950.0,52.5
1300.0,94.0
355.0,64.0
557.76,84.0
320.0,34.0
965.1,111.96
1450.0,110.0
440.0,50.01
900.0,78.0
695.0,88.5
283.0,50.0
620.0,60.0
290.0,46.97
1950.0,160.0
474.0,79.0
329.61,43.0
420.0,70.0
800.0,77.0
680.0,44.59
542.0,66.83
370.0,80.0
279.0,69.5
